Country,density,land_area_m,agricultural_land,birth_rate,fertility_rate,life_expectancy,proportion_forested,population_m,urban_population_m,co2_emissions
Burkina Faso,76.0,0.2742,0.442,37.93,5.19,61.2,0.193,20.321378,6.092349,3418.0
Burundi,463.0,0.02783,0.792,39.01,5.41,61.2,0.109,11.53058,1.541177,495.0
Ivory Coast,83.0,0.322463,0.648,35.74,4.65,57.4,0.327,25.716544,13.1769,9674.0
Cape Verde,138.0,0.004033,0.196,19.49,2.27,72.8,0.225,0.483628,0.364029,543.0
Cambodia,95.0,0.181035,0.309,22.46,2.5,69.6,0.529,16.486542,3.924621,9919.0
Cameroon,56.0,0.47544,0.20600000000000002,35.39,4.57,58.9,0.39299999999999996,25.87638,14.741256,8291.0
Canada,4.0,9.98467,0.069,10.1,1.5,81.9,0.382,36.991981,30.628482,544894.0
Central African Republic,8.0,0.622984,0.08199999999999999,35.35,4.72,52.8,0.35600000000000004,4.745185,1.982064,297.0
Chad,13.0,1.284,0.397,42.17,5.75,54.0,0.038,15.946876,3.712273,1016.0
Chile,26.0,0.756096,0.212,12.43,1.65,80.0,0.243,18.952038,16.610135,85822.0
China,153.0,9.59696,0.562,10.9,1.69,77.0,0.22399999999999998,1397.715,842.933962,9893038.0
Colombia,46.0,1.13891,0.40299999999999997,14.88,1.81,77.1,0.527,50.339443,40.827302,97814.0
Comoros,467.0,0.002235,0.715,31.88,4.21,64.1,0.19699999999999998,0.850886,0.248152,202.0
Republic of the Congo,16.0,0.342,0.311,32.86,4.43,64.3,0.654,5.380508,3.62501,3282.0
Costa Rica,100.0,0.0511,0.345,13.97,1.75,80.1,0.546,5.047561,4.041885,8023.0
Croatia,73.0,0.056594,0.276,9.0,1.47,78.1,0.344,4.0675,2.328318,17488.0
Cuba,106.0,0.11086,0.599,10.17,1.62,78.7,0.313,11.333483,8.739135,28284.0
Cyprus,131.0,0.009251,0.122,10.46,1.33,80.8,0.187,1.198575,0.800708,6626.0
Czech Republic,139.0,0.078867,0.452,10.7,1.69,79.0,0.34600000000000003,10.669709,7.887156,102218.0
